Metric,Value
design__max_fanout_violation__count__corner:min_tt_025C_1v80,761
design__max_cap_violation__count__corner:min_tt_025C_1v80,4
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.6628825453950778
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.5559272088914656
timing__hold__ws__corner:min_tt_025C_1v80,0.3177441732996018
timing__setup__ws__corner:min_tt_025C_1v80,28.089581233855274
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.317744
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,35.598854
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,223
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,852
design__max_fanout_violation__count__corner:min_ss_100C_1v60,761
design__max_cap_violation__count__corner:min_ss_100C_1v60,6
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.9092393761923102
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.7339491444565619
timing__hold__ws__corner:min_ss_100C_1v60,0.8623653146777372
timing__setup__ws__corner:min_ss_100C_1v60,20.198534971859733
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.862365
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,20.198536
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,223
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,6
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,761
design__max_cap_violation__count__corner:min_ff_n40C_1v95,4
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.5293778898412259
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4521786129072978
timing__hold__ws__corner:min_ff_n40C_1v95,0.1110184198217448
timing__setup__ws__corner:min_ff_n40C_1v95,28.592602872435705
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.111018
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,41.096443
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,223
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,96
design__max_fanout_violation__count__corner:max_tt_025C_1v80,761
design__max_cap_violation__count__corner:max_tt_025C_1v80,58
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.7348203364886242
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.6335148140948146
timing__hold__ws__corner:max_tt_025C_1v80,0.32233661097084676
timing__setup__ws__corner:max_tt_025C_1v80,27.937851933769867
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.322337
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,34.939766
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,223
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,2722
design__max_fanout_violation__count__corner:max_ss_100C_1v60,761
design__max_cap_violation__count__corner:max_ss_100C_1v60,61
clock__skew__worst_hold__corner:max_ss_100C_1v60,-1.0468792795629362
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.8722391944487959
timing__hold__ws__corner:max_ss_100C_1v60,0.8882759224038461
timing__setup__ws__corner:max_ss_100C_1v60,18.972393970645037
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.888276
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,18.972393
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,223
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,12
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,761
design__max_cap_violation__count__corner:max_ff_n40C_1v95,57
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.5775571295804611
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.507248479799325
timing__hold__ws__corner:max_ff_n40C_1v95,0.10734480275166564
timing__setup__ws__corner:max_ff_n40C_1v95,28.479669206820013
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.107345
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,40.656807
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,223
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,223
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79983
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79994
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.000168383
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000190266
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.000056643
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000190266
design_powergrid__voltage__worst,0.000190266
design_powergrid__voltage__worst__net:vccd1,1.79983
design_powergrid__drop__worst,0.000190266
design_powergrid__drop__worst__net:vccd1,0.000168383
design_powergrid__voltage__worst__net:vssd1,0.000190266
design_powergrid__drop__worst__net:vssd1,0.000190266
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00005679999999999999827672569896463983241119422018527984619140625
ir__drop__worst,0.00016799999999999999070361689224029078104649670422077178955078125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
